id,title,genre_ids,poster_path
315162,El Gato con Botas: El último deseo,"[16, 12, 14, 35, 10751]",img_movies/b5Jb7GoQaqIXy4VEdnQa0UrQZI.jpg
8587,El rey león,"[10751, 16, 18, 12]",img_movies/b0MxU37dNmMwKtoPVYPKOZSIrIn.jpg
78080,Beethoven: Aventura de navidad,"[10751, 35, 14]",img_movies/y9lB7wV0TGsuKsDj3JrlgegyIdh.jpg
10193,Toy Story 3,"[16, 10751, 35]",img_movies/yBSISwqix2z0JiwIrM3r6fiI6Cm.jpg
928833,El inicio del mundo de Craig,"[16, 10751, 10770, 12, 35, 14]",img_movies/8bF2MyJ3Uap5112jOROdqVey8r3.jpg
10674,Mulán,"[16, 10751, 12]",img_movies/towmTJ0k29quKI9IDnOZKAAtQx.jpg
21542,El amor no cuesta nada,"[35, 18, 10751, 10749]",img_movies/3Lr5FSzeTno0Ybg9N8bpdXx6xOU.jpg
1484453,Snoopy presenta: Un musical veraniego,"[16, 10751]",img_movies/eyT7aMB6ljruoCaXzdtNYUEOmza.jpg
809,Shrek 2,"[16, 10751, 35, 14, 12, 10749]",img_movies/knRt4E8KyfwEv0SVu9LsLvD28IQ.jpg
38757,Enredados,"[16, 10751, 12]",img_movies/z5kvXWek4smCyeWBDJQkT5sLc9T.jpg
425,Ice Age: La edad de hielo,"[16, 35, 10751, 12]",img_movies/9rpdhn7p7mDZW2rUXsINf9c6sR5.jpg
270946,Los pingüinos de Madagascar,"[10751, 16, 12, 35]",img_movies/lEnUxCpQUyntm2eLBzCTv3bfplV.jpg
12155,Alicia en el País de las Maravillas,"[10751, 14, 12]",img_movies/lTL10rosTEhOZp8E3zoniXddyRC.jpg
10192,"Shrek, Felices para siempre","[35, 12, 14, 16, 10751]",img_movies/3MyKXb1ozCfq61tPNKpIggwvP6J.jpg
10191,Cómo entrenar a tu dragón,"[14, 12, 16, 10751]",img_movies/8ekxsUORMAsfmSc8GzHmG8gWPbp.jpg
810,Shrek tercero,"[14, 12, 16, 35, 10751]",img_movies/7sTwtmVPTX77CFOUXdwAM7lKtKL.jpg
